trade_id,season,date,team_gave,team_received,playerID
609.0,2013,2013-08-31,17088881563676356828,10850162338247848558,JoneEd22
143.0,2006,2006-04-30,5871406167610578751,10850162338247848558,WatkPa20
226.0,2007,2007-08-20,6365231705754170015,8868698989004076079,WarrGe20
66.0,2005,2005-03-07,132764444518718530,12023098800665815609,HerrTo20
1488.0,2020,2020-04-24,9069772535392331262,65479060838205726,UcheJo00
1947.0,2025,2025-04-26,2510731250986376389,6925066933158530259,McCoKy00
1848.0,2024,2024-04-26,2320754804646684222,17088881563676356828,SuamKi00
1524.0,2020,2020-10-14,1050569726423766568,1560179394349447686,NiemNi00
1258.0,2017,2017-09-02,7133911251131028908,13343989452992003904,CockRo00
1173.0,2016,2016-08-27,17088881563676356828,2320754804646684222,JameRi00
1664.0,2022,2022-04-29,500402322179294962,6365231705754170015,DulcGr00
733.0,2002,2002-07-19,2063088944946177687,313534023758018368,WillJa26
1164.0,2016,2016-04-30,6365231705754170015,1560179394349447686,SimsLe00
204.0,2007,2007-04-28,6153311603862755699,8868698989004076079,McCoJo01
25.0,2004,2004-04-24,7133911251131028908,6282140929199591444,PopeKe20
535.0,2012,2012-04-28,6153311603862755699,8868698989004076079,StupNa01
1566.0,2021,2021-04-30,8868698989004076079,2320754804646684222,BankAa00
411.0,2010,2010-04-24,12023098800665815609,5871406167610578751,ConnJo00
1247.0,2018,2018-03-14,17088881563676356828,5278248699303523056,SmitAl03
438.0,2010,2010-09-03,17956958453991973628,6925066933158530259,WellRe20
1377.0,2019,2019-04-26,65479060838205726,12955004400848398946,CajuYo00
1232.0,2017,2017-04-29,313534023758018368,13906238977642631312,TuikSt00
1860.0,2024,2024-04-27,5036536954717716423,5652306262615220775,BookAu00
1365.0,2019,2019-04-02,132764444518718530,17088881563676356828,OgbaEm00
697.0,2003,2003-08-31,5036536954717716423,6153311603862755699,GaryOl00
632.0,2014,2014-05-09,500402322179294962,6925066933158530259,WatkJa01
1293.0,2018,2018-04-26,7133911251131028908,8868698989004076079,BryaMa00
6.0,2004,2004-03-16,9069772535392331262,6925066933158530259,OwenTe00
1498.0,2020,2020-04-25,500402322179294962,12955004400848398946,SlomSa00
1917.0,2025,2025-04-03,65479060838205726,10850162338247848558,MiltJo00
1902.0,2024,2024-11-05,500402322179294962,2320754804646684222,DaviKh00
1939.0,2025,2025-04-26,5871406167610578751,6925066933158530259,WillCa04
1601.0,2021,2021-08-26,9069772535392331262,65479060838205726,WadeSh00
1182.0,2016,2016-09-06,6925066933158530259,65479060838205726,RoseEr00
1344.0,2018,2018-09-01,2063088944946177687,6153311603862755699,RobiCo00
71.0,2005,2005-04-20,5278248699303523056,6365231705754170015,DumeEl20
1621.0,2021,2021-10-15,6925066933158530259,17956958453991973628,ErtzZa00
233.0,2007,2007-09-01,13343989452992003904,10747338959545745003,GranRy00
511.0,2012,2012-04-26,132764444518718530,9057379035658713691,SoloSc00
1494.0,2020,2020-04-24,16205908587528271615,9057379035658713691,HandHa00
1204.0,2017,2017-04-28,9057379035658713691,6749998682379709485,MaloJo00
1598.0,2021,2021-08-24,500402322179294962,12023098800665815609,ReidJo00
1354.0,2019,2019-03-13,8868698989004076079,5871406167610578751,AustBl00
1144.0,2016,2016-04-20,6925066933158530259,132764444518718530,WatsDe00
310.0,2009,2009-04-09,12955004400848398946,18099107877425255784,AdkiSp99
635.0,2014,2014-05-09,5036536954717716423,2320754804646684222,JohnSt00
1537.0,2021,2021-03-18,12955004400848398946,6153311603862755699,GoffJa00
1683.0,2022,2022-04-30,2510731250986376389,5652306262615220775,GillTr01
1564.0,2021,2021-04-30,2063088944946177687,5652306262615220775,JenkTe00
205.0,2007,2007-04-28,132764444518718530,10850162338247848558,FolkNi20
1921.0,2025,2025-04-24,12955004400848398946,18099107877425255784,JoneSa01
46.0,2004,2004-08-24,5652306262615220775,313534023758018368,BookMa00
735.0,2002,2002-08-20,12955004400848398946,65479060838205726,WillTo21
1221.0,2017,2017-04-29,9057379035658713691,17088881563676356828,ChesJe00
619.0,2014,2014-05-09,5036536954717716423,132764444518718530,ErviCa00
310.0,2009,2009-04-09,12955004400848398946,18099107877425255784,MiddWi98
691.0,2003,2003-08-23,6365231705754170015,12023098800665815609,McBrMa20
424.0,2010,2010-05-25,313534023758018368,1050569726423766568,SmilJu20
625.0,2014,2014-05-09,6153311603862755699,12023098800665815609,SmalKi00
1573.0,2021,2021-04-30,500402322179294962,2063088944946177687,NixoDa00
1162.0,2016,2016-04-30,9057379035658713691,313534023758018368,GranJa00
452.0,2010,2010-10-05,12023098800665815609,5036536954717716423,CardTa00
382.0,2010,2010-04-14,6365231705754170015,313534023758018368,MarsBr00
1389.0,2019,2019-04-27,2320754804646684222,6749998682379709485,FinlRy00
713.0,2002,2002-04-20,8868698989004076079,5278248699303523056,GrahDa00
1844.0,2024,2024-04-26,12955004400848398946,2063088944946177687,TrotJe01
1430.0,2019,2019-08-31,17088881563676356828,500402322179294962,HydeCa00
1391.0,2019,2019-04-27,6282140929199591444,8868698989004076079,JohnIs02
642.0,2014,2014-05-10,5652306262615220775,6365231705754170015,BarrLa00
350.0,2009,2009-08-31,500402322179294962,2510731250986376389,JohnTr20
383.0,2010,2010-04-16,313534023758018368,2320754804646684222,GinnTe00
1577.0,2021,2021-05-01,12023098800665815609,13906238977642631312,DardJa00
570.0,2013,2013-04-25,12955004400848398946,18099107877425255784,TrufDe00
1181.0,2016,2016-09-03,17088881563676356828,2320754804646684222,StreRo00
1607.0,2021,2021-08-30,13343989452992003904,6749998682379709485,HillB.00
1234.0,2017,2017-06-15,12955004400848398946,6153311603862755699,RobiGr01
